,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Belize,16812.0,39155.0,51729.0,60403.0,75000.0,96000.0,118000.0,118314.0,160032.0,161783.0,194201.0,,6.71,15.26,19.69,22.47,27.29,34.17,41.11,40.36,53.48,52.97,62.32,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,includes Mobile GSM and AMPS Post and Pre Mobile Base at December 2010,Belize Telemedia Limited
Benin,55476.0,125000.0,218770.0,236175.0,459322.0,596267.0,1055727.0,2051776.0,3625366.0,5033349.0,7074914.0,,0.85,1.86,3.15,3.30,6.21,7.81,13.41,25.29,43.39,58.52,79.94,,,Office des Postes et Télécommunications (OPT).,,ITU estimate.,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,ATRPT.,,ATRPT.,,Autorité transitoire de régulation des postes et télécommunications du Bénin
Bermuda,13000.0,13333.0,30000.0,40000.0,49000.0,52720.0,60100.0,69000.0,79000.0,85000.0,88200.0,,20.69,21.13,47.33,62.84,76.68,82.21,93.43,106.97,122.18,131.17,135.82,,,The Bermuda Telephone Company Limited (Bermuda Telephone).,Data at 31st December 2001.,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce estimate.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Bhutan,0.0,0.0,0.0,2255.0,19138.0,36000.0,82078.0,149439.0,253429.0,338938.0,394316.0,,0.00,0.00,0.00,0.36,2.98,5.46,12.17,21.70,36.13,47.49,54.32,,,,,,,,,,,,,,,,,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,Ministry of Information & Communications
Bolivia,582620.0,779917.0,1023333.0,1278844.0,1800789.0,2421402.0,2876143.0,3254410.0,5038600.0,6464390.0,7179293.0,,7.01,9.20,11.84,14.51,20.05,26.47,30.90,34.39,52.38,66.14,72.30,,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes
Bosnia and Herzegovina,93386.0,444711.0,748780.0,1074790.0,1407441.0,1594367.0,1887820.0,2450425.0,3179036.0,3257239.0,3013700.0,,2.53,11.86,19.83,28.41,37.22,42.17,49.92,64.84,84.23,86.45,80.15,,,,,,,,,,,,,,,,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H
Botswana,222190.0,332264.0,332264.0,444978.0,522840.0,563782.0,823070.0,1151761.0,1485791.0,1874101.0,2363411.0,,12.64,18.62,18.38,24.31,28.23,30.06,43.30,59.75,76.01,94.58,117.76,,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority
Brazil,23188171.0,28745769.0,34880964.0,46373266.0,65605000.0,86210336.0,99918621.0,120980103.0,150641403.0,173959368.0,202944033.0,,13.29,16.25,19.46,25.53,35.68,46.35,53.16,63.74,78.65,90.02,104.10,,,,,,,,,,,,,,,,,Anatel. ,,Anatel. ,,Anatel. ,,Agência Nacional de Telecomunicaç?es
British Virgin Islands,,,8000.0,,,,,20700.0,23000.0,24000.0,24500.0,,,,37.81,,,,,91.96,101.05,104.32,105.40,,,,,,,Caribbean Telecommunications Union.,,,,,,,,,,Cable and Wireless Plc. (C&W).,,Cable and Wireless Plc. (C&W).,,ITU estimate.,,ITU estimate.
Brunei Darussalam,95000.0,143004.0,153647.0,177365.0,202454.0,232900.0,301400.0,366138.0,398857.0,412882.0,435104.0,,29.05,42.77,44.98,50.85,56.88,64.14,81.39,96.99,103.68,105.37,109.07,,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AiTi.,,AITI estimate,,Authority for Info-communications Technology Industry of Brunei Darussalam
Bulgaria,738000.0,1550000.0,2597548.0,3500869.0,4729731.0,6244922.0,8253416.0,9897477.0,10500186.0,10575700.0,10584515.0,,9.22,19.50,32.91,44.65,60.72,80.69,107.33,129.54,138.32,140.21,141.23,,,Bulgarian Telecommunications Company Ltd.,,Bulgarian Telecommunications Company Ltd.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission.,,Communications Regulation Commission,,Communications Regulation Commission
Burkina Faso,25245.0,76186.0,111013.0,238094.0,395939.0,633554.0,1016605.0,1858038.0,3024150.0,3823625.0,5707850.0,,0.21,0.60,0.85,1.78,2.87,4.46,6.95,12.34,19.49,23.92,34.66,,,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,Including Celtel subscribers. ,Office National des Télécommunications (ONATEL).,,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Télécommunications Électroniques (ARCE),,Autorité de Régulation des Communications Électroniques (ARCE)
Burundi,16320.0,33416.0,52000.0,64000.0,100560.0,153000.0,200000.0,270000.0,480584.0,838414.0,1150500.0,,0.26,0.51,0.78,0.94,1.43,2.11,2.68,3.50,6.05,10.26,13.72,,,Office National des Télécommunications (ONATEL).,,ITU estimate.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,ITU estimate.,,Telegeography.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,ITU estimate.
Cambodia,130547.0,223458.0,380000.0,498388.0,861500.0,1062000.0,1721650.0,2583318.0,4237000.0,6268000.0,8150764.0,,1.05,1.77,2.96,3.83,6.53,7.95,12.74,18.90,30.65,44.84,57.65,,,,,,,,,,,,,,,,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),,Ministry of Posts and Telecommunications
Cameroon,103279.0,417295.0,701507.0,1077000.0,1530868.0,2252508.0,3135946.0,4536000.0,6160893.0,8004120.0,8155652.0,,0.66,2.60,4.28,6.42,8.92,12.83,17.47,24.72,32.84,41.74,41.61,,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,ITU estimate.,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Agence de Régulation des Statistiques,,Agence de Régulation des Télécommunications
Canada,8727000.0,10649000.0,11872000.0,13291000.0,15020000.0,17016600.0,18749100.0,20277400.0,22092500.0,23811900.0,24037372.0,,28.46,34.39,37.95,42.05,47.02,52.71,57.46,61.49,66.29,70.71,70.66,,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,CWTA.,,CWTA.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Canadian Radio-television Telecommunications Commission,3Q.,CWTA.
Cape Verde,19729.0,31507.0,42949.0,53342.0,65780.0,81721.0,108858.0,152212.0,277670.0,290621.0,371871.0,,4.51,7.08,9.49,11.60,14.09,17.28,22.76,31.51,56.97,59.11,74.97,,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,ITU estimate.,,Agencia Nacional das Comunicaçoes.,,ANAC - Agência Nacional das Comunicações,,Agencia Nacional das Comunicaçoes
Cayman Islands,10700.0,17000.0,19000.0,21040.0,33800.0,80945.0,92559.0,101497.0,98313.0,108699.0,99891.0,,26.62,40.00,42.11,44.00,67.23,154.87,172.32,185.62,177.80,194.93,177.65,,,,,,,,,,,,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation. Reduction explained by high fluctuation of temporary residents.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority,Year-end mobile handsets in operation.,Information and Communications Technology Authority
Central African Rep.,4967.0,11000.0,12600.0,40000.0,60000.0,100000.0,110000.0,200000.0,250000.0,600000.0,1020000.0,,0.13,0.29,0.33,1.03,1.52,2.49,2.69,4.81,5.90,13.89,23.18,,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,Société Centrafricaine de Télécommunications (SOCATEL).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Chad,5500.0,22000.0,34200.0,65000.0,123000.0,210000.0,466088.0,918356.0,1809000.0,2281320.0,2614330.0,,0.07,0.26,0.39,0.71,1.30,2.15,4.62,8.85,16.98,20.86,23.29,,,SOTEL.,,ITU estimate.,,SOTEL.,,SOTEL.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,ITU estimate.,,ITU estimate.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.
Chile,3401525.0,5100783.0,6244310.0,7268281.0,9261385.0,10569572.0,12450801.0,13955202.0,14796593.0,16450223.0,19852242.0,,22.06,32.69,39.56,45.54,57.41,64.84,75.60,83.90,88.10,97.02,116.00,,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,ITU estimate.,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones
China,85260000.0,144820000.0,206005000.0,269953000.0,334824000.0,393406000.0,461058000.0,547306000.0,641245000.0,747214000.0,859003000.0,,6.72,11.33,16.02,20.87,25.74,30.09,35.07,41.42,48.28,55.97,64.04,,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology
Colombia,2256801.0,3265261.0,4596594.0,6186206.0,10400578.0,21849993.0,29762715.0,33941118.0,41364753.0,42159613.0,43405330.0,,5.68,8.08,11.19,14.82,24.54,50.77,68.11,76.53,91.91,92.35,93.76,,,,,,,,,,,,,,,,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones
Comoros,0.0,0.0,0.0,2000.0,8378.0,15523.0,36877.0,62104.0,91741.0,122596.0,165278.0,,0.00,0.00,0.00,0.33,1.34,2.41,5.58,9.15,13.16,17.13,22.49,,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Société Nationale des Postes et Telecommunications (SNPT).,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.,,Comores Télécom.
Congo,70000.0,150000.0,221800.0,330000.0,383653.0,558192.0,917499.0,1287631.0,1807000.0,2171000.0,3798619.0,,2.23,4.67,6.74,9.81,11.13,15.80,25.29,34.52,47.10,55.08,93.96,,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,Direction Générale de l'Administration Centrale des Postes et Télécommunications.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Agence de Régulation des Postes et des Communications Electroniques
