,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Ireland,2461000,2970000,3000000,3500000,3860000,4270000,4690135,4970719,5048127,4704497,4701474,,64.70,76.83,76.22,87.27,94.48,102.69,110.97,115.83,115.97,106.63,105.18,,,Commission for Communications Regulation.,,Commission for Communications Regulation.,,Commission for Communications Regulation.,,Commission for Communications Regulation.,,Commission for Communications Regulation.,,Commission for Communications Regulation.,,Commission for Communications Regulation.,Excluding mobile broadband (HSDPA) subscriptions.,Commission for Communications Regulation.,Please note that this number may be overestimated. Data refers to as at the end of December.,Commission for Communications Regulation.,"Decrease in the number of subscriptions was due to change in the definition of prepaid subscriptions (now includes only those that have done an event (outgoing call, SMSs, MMS, Internet usage, etc)) that decrements their balance in the previous 90 days. Data refers to as at the end December.",Commission for Communications Regulation (ComReg),Data refers to as at the end of December.,Commission for Communications Regulation (ComReg)
Israel,4400000,5500621,6300008,6618367,7221955,7757000,8403765,8902000,8982000,9022000,9875000,,73.15,89.71,100.94,104.19,111.60,117.45,124.41,128.64,126.64,124.25,133.11,,,,,,,,,,,,,,,,,ITU estimate.,,Ministry of Communications,,ITU estimate.,,ITU estimate.
Italy,42246000,51246000,54200000,56770000,62750000,71500000,80418000,89801000,90341000,88013000,82000000,,74.13,89.59,94.26,98.11,107.70,121.87,136.11,150.94,150.84,146.08,135.42,,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,September.,Telecom Italia. Ministry of Communications.,30 June.,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Ministry of Economic Development,,Ministry of Economic Development,,Ministry of Economic Development,,ITU estimate.
Jamaica,366952,597826,1244976,1576360,1837552,1981464,2274650,2684331,2723323,2956061,3103304,,14.21,22.96,47.41,59.57,68.95,73.89,84.36,99.09,100.11,108.25,113.22,,,Cable & Wireless.,,Cable & Wireless estimate.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation,,Office of Utilities Regulation
Japan,66784374,74819158,81118324,86655000,91474000,96484000,99826000,107339000,110394996,114916756,120708670,,53.12,59.43,64.35,68.67,72.43,76.34,78.94,84.84,87.24,90.81,95.39,,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Including PHS.,Ministry of Internal Affairs and Communications (MIC). ,Including PHS.,Ministry of Internal Affairs and Communications(MIC),Including PHS and data cards ((undividable).Dec.,Ministry of Internal Affairs and Communications,Including PHS.Dec,Ministry of Internal Affairs and Communications,Including PHS and data cards ((undividable).Dec.,Ministry of Internal Affairs and Communications
Jersey,44742,61417,,81200,83900,,,,,,,,51.56,70.44,,92.27,95.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,388949,865627,1219597,1325313,1624110,3137700,4343100,4771641,5313564,6014366,6620000,,8.06,17.63,24.40,26.00,31.17,58.74,79.04,84.19,90.85,99.81,106.99,,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,TRC.
Kazakhstan,197300,582000,1027000,1330730,2447000,5398000,7775737,12322676,14910573,17063200,19768500,,1.32,3.91,6.89,8.90,16.26,35.58,50.78,79.62,95.24,107.71,123.35,,,,,,,,,,,,,,,,,Ministry for Communications and Informations,,Agency of Republic Kazakhstan for Informatization and Communication.,,Ministry of the Republic of Kazakhstan for Communications and Information,,Ministry for Communications and Information of Republic of Kazakhstan 
Kenya,127404,600000,1187122,1590785,2546157,4611970,7340317,11349412,16303573,19364559,24968891,,0.41,1.87,3.61,4.71,7.34,12.95,20.09,30.28,42.40,49.07,61.63,,Dec.,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,Dec.,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya
Kiribati,300,395,495,526,615,650,700,750,1000,1000,10000,,0.36,0.46,0.57,0.59,0.68,0.71,0.75,0.79,1.04,1.02,10.05,,,Telecom Services Kiribati Limited (TSKL).,,Telecom Services Kiribati Limited (TSKL).,,Telecom Services Kiribati Limited (TSKL).,,Telecom Services Kiribati Limited (TSKL).,,Telecom Services Kiribati Limited (TSKL).,,Telecom Services Kiribati Limited (TSKL).,Based on Pacific Economic Survey 2008.,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Telecommunications Authority of Kiribati
Korea (Rep.),26816398,29045596,32342493,33591758,36586052,38342323,40197115,44369165,45606984,47944222,50767241,,58.31,62.85,69.67,72.05,78.12,81.50,85.04,93.41,95.54,99.96,105.36,,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,"Korea Communications Commission, Rep of Korea",,Korea Communications Commission,,Korea Communications Commission,,Korea Communications Commission
Kuwait,476000,877920,1227000,1420000,2000000,2277000,2530000,2773688,2907000,3876000,4400000,,24.53,43.69,59.28,66.77,91.35,100.57,107.59,113.31,114.07,146.47,160.78,,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Africa& Middle East Telecom Week.,,ITU estimate.,,ITU estimate. ,,ITU estimate. 
Kyrgyzstan,9000,27000,53084,138279,263375,541652,1261757,2168329,3394016,4487123,4900000,,0.18,0.54,1.06,2.76,5.25,10.74,24.82,42.19,65.22,85.13,91.86,,,,,,,,,,,,,,,,,National Communication Agency.,,National Communication Agency.,,National Communications Agency.,,MoTC
Lao P.D.R.,12681,29545,55160,112275,204191,657528,1009565,1478409,2022133,3234642,4003395,,0.24,0.55,1.00,2.01,3.60,11.43,17.28,24.93,33.58,52.92,64.56,,,,,,,,,,,,,,,,,National Authority of Post and Telecommunication.,,National Authority of Post and Telecommunication.,,National Authority of Post and Telecommunication.,,National Authority of Post and Telecommunication
Latvia,401272,656835,917196,1219550,1536712,1871602,2183696,2217008,2298610,2303600,2306100,,16.83,27.75,39.02,52.25,66.26,81.18,95.23,97.17,101.21,101.87,102.40,,,,,,,,,,,,,,,,,ITU estimate.,,Ministry of Transport,,Ministry of Transport,,ITU estimate.
Lebanon,743000,766754,775104,795460,884445,993557,1106431,1260000,1427000,2390317,2874766,,19.85,20.16,20.04,20.21,22.12,24.52,27.00,30.47,34.25,56.95,68.00,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,BMI.,  ,ITU estimate.,,Ministère des Télécommunications,,
Lesotho,21600,57000,137953,125950,196213,249786,357913,456000,593216,661000,698800,,1.10,2.87,6.86,6.21,9.59,12.09,17.16,21.65,27.88,30.76,32.18,,,Telecomm Lesotho (TCL).,,Telecomm Lesotho (TCL).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,ITU estimate.,,Lesotho Telecommunications Authority (LTA).,,ITU estimate.,,ITU estimate.
Liberia,1500,2000,5000,47250,94370,160000,280000,563000,854627,1085062,1571308,,0.05,0.07,0.17,1.56,3.05,5.03,8.45,16.19,23.36,28.29,39.34,,,Liberia Telecommunications Corporation (LTC).,,Liberia Telecommunications Corporation (LTC).,,Liberia Telecommunications Corporation (LTC).,,ITU estimate.,,Liberia Telecommunications Corporation (LTC).,,Liberia Telecommunications Corporation (LTC).,,ITU estimate.,,ITU estimate.,Figure obtained from four mobile operators who provided mobile services in 2008.,Liberia Telecommunications Authority ,Figure obtained from four mobile operators who provided mobile services in 2009.,Liberia Telecommunications Authority ,Figure obtained from all five mobile operators currently providing service in the country. ,Liberia Telecommunications Authority 
Libya,40000,50000,70000,127000,500000,2000000,3927562,4500000,7379115,9534091,10900000,,0.76,0.94,1.29,2.29,8.85,34.66,66.64,74.71,119.99,152.24,171.52,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,ITU estimate.,,General Telecom Authority.,,General Telecom Authority.,,ITU estimate.
Liechtenstein,10000,11000,11402,25000,25500,27503,28755,32013,34000,35000,35500,,30.44,33.09,33.91,73.52,74.20,79.27,82.17,90.78,95.72,97.84,98.52,,,Estimate from Office for Communications.,,Estimate from Office for Communications. ,,Estimate from Office for Communications. ,,Estimate from Office for Communications. ,,Estimate from Office for Communications.,,Estimate from Office for Communications.,,Estimate from Office for Communications. ,,Estimate from Office for Communications.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Lithuania,524000,1017999,1645568,2102207,3051160,4353447,4718215,4912077,5022638,4961499,4890979,,14.97,29.26,47.53,60.98,88.90,127.45,138.86,145.37,149.49,148.50,147.16,,Active mobile subscriptions.,Lithuanian Telecom.,Active mobile subscriptions.,Lithuanian Telecom.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority.,Active mobile subscriptions.,Communications Regulatory Authority of the Republic of Lithuania
Luxembourg,303274,409064,473000,539000,470000,510000,713000,684500,707000,720000,727000,,69.64,93.07,106.80,120.76,104.24,111.55,153.14,143.89,145.24,144.68,143.27,,Includes non-actif subscriptions. ,Entreprise des Postes et Télécommunications (P&T).,Includes non-actif subscriptions. ,Institut Luxembourgeois de Régulation.,Includes non-actif subscriptions. ,ITU estimate.,Includes non-actif subscriptions. ,Institut Luxembourgeois de Régulation.,Actif mobile subscriptions.,Institut Luxembourgeois de Régulation.,Actif mobile subscriptions.,Institut Luxembourgeois de Régulation.,Actif mobile subscriptions.,Institut Luxembourgeois de Régulation.,Actif mobile subscriptions.,Institut Luxembourgeois de Régulation.,Actif mobile subscriptions.,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.
"Macao, China",141052,194475,276138,364031,432450,532758,636347,794323,932596,1037380,1122261,,32.66,44.17,61.44,79.23,91.99,110.67,129.01,157.07,179.88,195.29,206.43,,,,,,,,,,,,,,,,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation
Madagascar,63094,147500,163010,283666,333888,510269,1045888,2217612,4835239,6283799,8242240,,0.41,0.93,1.00,1.68,1.92,2.85,5.68,11.68,24.74,31.23,39.79,,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Régulation des Télécommunications.,,Office Malagasy d'Etudes et Régulations des télécommunications (OMERT),,Office Malagasy d'Etudes et de Regulation des Télécommunications
Malawi,49000,55730,86047,135114,222135,421163,620163,1050852,1507684,2374051,3037469,,0.44,0.48,0.73,1.11,1.78,3.28,4.70,7.73,10.77,16.44,20.38,,,Malawi Telecommunications Limited (MTL).,,Malawi Communications Regulatory Authority (MACRA).,,Malawi Communications Regulatory Authority (MACRA).,,Malawi Communications Regulatory Authority (MACRA).,,Malawi Communications Regulatory Authority (MACRA).,,Malawi Communications Regulatory Authority (MACRA).,,ITU estimate.,,Malawi Communications Regulatory Authority (MACRA).,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority
Malaysia,5121748,7385000,9053000,11124000,14611000,19545000,19463722,23347000,27713000,30144000,34456000,,21.87,30.82,36.93,44.39,57.10,74.88,73.21,86.31,100.77,107.85,121.32,,,,,,,,,,,,,,,,,SKMM.,,SKMM.,,Malaysian Communications and Multimedia Malaysia,,Malaysian Communications and Multimedia Commission
Maldives,7638,18894,41899,66466,113246,203620,271053,313539,435627,457770,494351,,2.80,6.80,14.84,23.19,38.92,68.97,90.53,103.29,141.61,146.84,156.50,,,,,,,,,,,,,,,,,Telecommunications Authority of Maldives (TAM).,,Telecommunications Authority of Maldives (TAM).,,Telecommunications Authority of Maldives (TAM).,,
Mali,10398,23997,45974,247223,406861,761986,1512948,2530891,3438568,4460543,7325837,,0.09,0.21,0.38,2.00,3.19,5.78,11.13,18.05,23.78,29.92,47.66,,,,,,,,,,,,,,,,,Comité de Régulation des Télécommunications.,,Comité de Régulation des Télécommunications,,Comité de Régulation des Télécommunications,,Comité de Régulation des Télécommunications
Malta,114444,239416,276859,289992,306067,323980,346771,368530,385636,422083,455414,,28.80,59.89,68.83,71.64,75.17,79.16,84.36,89.32,93.16,101.65,109.34,,,,,,,,,,,,,,,,,Malta Communications Authority,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority
Marshall Islands,447,489,552,598,644,660,1000,1500,2000,3000,3800,,0.86,0.94,1.06,1.15,1.24,1.27,1.92,2.86,3.78,5.62,7.03,,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,National Telecommunications Authority.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Mauritania,15300,110463,247238,350954,522400,745615,1060122,1413967,2091992,2182249,2744978,,0.58,4.06,8.83,12.18,17.62,24.47,33.87,44.01,63.48,64.61,79.34,,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation
Mauritius,180000,272416,347532,462405,547745,656828,772395,928622,1033300,1086748,1190900,,15.05,22.55,28.46,37.48,43.97,52.26,60.98,72.80,80.48,84.14,91.67,,,Mauritius Telecom.,,Mauritius Telecom.,,Mauritius Telecom.,,ICTA.,,Mauritius Telecom.,,Mauritius Telecom.,,Mauritius Telecom.,,ICTA.,,ICTA.,,ICTA.,,Information and Communication Technologies Authority of Mauritius
Mayotte,0,0,20300,33200,48100,,,,,,,,0.00,0.00,12.77,20.23,28.41,,,,,,,,Refers to active mobile subscribers.,France Télécom.,Refers to active mobile subscribers.,France Télécom.,Refers to active mobile subscribers.,France Télécom.,Refers to active mobile subscribers.,France Télécom.,Refers to active mobile subscribers.,France Télécom.,,,,,,,,,,,,
Mexico,14077880,21757559,25928266,30097700,38451135,47128746,55395461,66559462,75303469,83527872,91362753,,14.08,21.47,25.26,28.97,36.56,44.26,51.37,60.94,68.07,74.56,80.55,,,,,,,,,,,,,,,,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones de México
Micronesia,0,0,100,5869,12782,14094,18616,27436,34000,38000,27518,,0.00,0.00,0.09,5.42,11.73,12.88,16.96,24.92,30.81,34.33,24.78,,,FSM Telecommunication Corporation.,,FSM Telecommunication Corporation.,,Pacific Islands Forum Secretariat. Pacific ICT Survey 2002.,,FSM Telecommunication Corporation.,,FSM Telecommunication Corporation.,,FSM Telecommunication Corporation.,,FSM Telecommunication Corporation.,,FSM Telecommunication Corporation.,,ITU estimate.,,ITU estimate.,,
Moldova,139000,225000,338225,475942,787000,1089800,1358152,1882830,2423416,2784832,3165052,,3.38,5.57,8.52,12.21,20.56,28.93,36.56,51.28,66.67,77.30,88.59,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology
Monaco,13927,14302,14874,15081,15750,17191,18307,20400,22000,23000,26310,,39.65,40.53,42.09,42.69,44.64,48.75,51.91,57.80,62.26,65.01,74.31,,,,,,,,,,,,,,,,,Direction du Controle des Concessions et des Télécommunications.,,ITU estimate.,,ITU estimate.,,Monaco Telecom
Mongolia,154600,195000,216000,319000,428695,557207,774900,1194583,1763178,2249023,2510470,,6.41,8.01,8.78,12.84,17.05,21.87,29.99,45.52,66.10,82.94,91.09,,,Ministry of Infrastructure (MOI).,,Ministry of Infrastructure (MOI).,,Information and Communication Technology Authority.,,Information and Communication Technology Authority.,,Information and Communication Technology Authority.,,Information and Communication Technology Authority.,,Communications Regulatory Commission.,,Communications Regulatory Commission.,,Communications Regulatory Commission.,,Communications Regulatory Commission.,,Communications Regulatory Commission of Mongolia
Montenegro,,,,,483766,543220,643681,703000,1158032,1294167,1170000,,,,,,77.17,86.67,102.65,111.95,184.05,205.28,185.28,,,,,,,,,,,Agency for Telecommunications and Postal Services.,,Agency for Telecommunications and Postal Services.,,Agency for Telecommunications and Postal Services.,,ITU estimate.,,Agency for telecommunications and postal services.,,Agency for telecommunications and postal services.,,ITU estimate.
Montserrat,489,1200,1500,1800,2180,,4320,3558,3000,3050,4200,,9.92,26.04,32.19,36.28,40.96,,75.00,60.87,51.06,51.74,70.78,,,,,,,,,,,,,,,,,Ministry of Communications.,,ITU estimate.,,Ministry of Communications & Works,,Ministry of Communications & Works
Morocco,2342000,4771739,6198670,7359870,9336878,12392805,16004731,20029300,22815694,25310761,31982279,,8.13,16.38,21.05,24.72,31.04,40.78,52.13,64.59,72.84,80.01,100.10,,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence Nationale de Réglementation des Télécommunications
Mozambique,51065,152652,254759,435757,708000,1503943,2339317,3079783,4405006,5970781,7224176,,0.28,0.82,1.33,2.21,3.50,7.24,10.99,14.12,19.72,26.12,30.88,,,,,,,,,,,,,,,,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicaç?es de Moçambique
Myanmar,13397,22671,47982,66517,92452,128700,214214,247641,367388,502005,594000,,0.03,0.05,0.11,0.15,0.20,0.28,0.46,0.53,0.78,1.05,1.24,,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,Post and Telecommunications Department.,,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs",,ITU estimate.
Namibia,82000,106600,150000,223671,286095,448857,608846,800270,1052000,1217000,1534528,,4.33,5.51,7.60,11.14,14.00,21.58,28.74,37.07,47.81,54.28,67.21,,,Telecom Namibia.,,Telecom Namibia.,December.,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,Namibian Communications Commission (NCC).,,ITU estimate.,,MTC annual report.
Nauru,1200,1500,,,,,,,,,6200,,11.95,14.93,,,,,,,,,60.46,,,ITU estimate.,,ITU estimate.,,,,,,,,,,,,,,,,,Digicel is now providing Island-wide GSM services.,Ministry for Transport and Telecommunications
Nepal,10226,17286,21881,81867,116778,227316,1157102,3268895,4200000,5597880,9195562,,0.04,0.07,0.09,0.31,0.44,0.83,4.16,11.52,14.53,19.02,30.69,,,Nepal Telecom.,December.,Nepal Telecom.,,Nepal Telecom.,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,Refers to SNLP subscribers only.,Nepal Telecommunications Authority (NTA).,,Nepal Telecommunications Authority (NTA).,March 2010.,Nepal Telecommunications Authority,December 2010,Nepal Telecommunications Authority
Neth. Antilles,,,,200000,200000,,,,,,,,,,,110.13,108.93,,,,,,,,,,,,,,,Telecommunication Administration Netherlands Antilles.,,Telecommunication Administration Netherlands Antilles.,,,,,,,,,,,,
Netherlands,10755000,12200000,12100000,13200000,14800000,15834000,17296000,19285000,20627000,21182000,19310000,,67.80,76.47,75.41,81.80,91.22,97.11,105.61,117.28,124.99,127.92,116.23,,,,,,,,,,,,,,,,,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunications Authority (OPTA).,July.,Independent Post and Telecommunications Authority (OPTA).,"July 2010, lower than previous years due to the removal of inactive SIM-cards out of the administrative system of operators.",Independent Post and Telecommunication Authority
New Caledonia,49948,67917,80000,97113,116443,134265,155000,176350,196474,209595,220811,,23.56,31.46,36.41,43.45,51.24,58.10,65.96,73.81,80.88,84.89,88.02,,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,ITU estimate.,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et des Télécommunications (OPT).,,Office des Postes et Télécommunications de Nouvelle-Calédonie,,Office des Postes et Télécommunications
New Zealand,1542000,2288000,2449000,2599000,3027000,3530000,3802290,4251207,4620000,4700000,5020000,,39.97,58.56,61.81,64.64,74.21,85.39,90.86,100.44,108.00,108.73,114.92,,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Ministry of Economic Development.,,Ministry of Economic Development.,,Ministry of Economic Development.,Telecom NZ + Vodafone NZ.,Ministry of Economic Development.,September.,ComCom.,,Ministry of Economic Development.,June,Ministry of Economic Development
Nicaragua,90294,164509,237248,466706,738624,1119379,1830220,2502281,3108002,3204367,3770510,,1.78,3.20,4.55,8.83,13.79,20.64,33.32,44.98,55.15,56.12,65.14,,,,,,,,,,,,,TELCOR,,TELCOR,,TELCOR,,TELCOR,,TELCOR,,Instituto Nicaragüense de Telecomunicaciones y Correos
Niger,2056,2126,57541,82365,172421,323853,483000,900000,1897628,2599000,3805592,,0.02,0.02,0.49,0.68,1.37,2.49,3.59,6.45,13.13,17.36,24.53,,,Ministère de la Communication and Societe Nigerienne des Télécommunications (SONITEL).,,Ministère de la Communication and Societe Nigerienne des Télécommunications (SONITEL).,,Ministère de la Communication and Societe Nigerienne des Télécommunications (SONITEL).,,Ministère de la Communication and Societe Nigerienne des Télécommunications (SONITEL).,,Ministère de la Communication and Societe Nigerienne des Télécommunications (SONITEL).,,Institut National de la Statistique.,,Institut National de la Statistique.,Estimate based on Celtel's Annual Report.,ITU estimate.,,Autorité de Régulation Multisectorielle (ARM)/ Rapport annuel. ,Based on Zain market share.,ITU estimate.,,Institut National de la Statistique
Nigeria,30000,266461,1569050,3149473,9147209,18587000,32322202,40395611,62988492,74518264,87297789,,0.02,0.21,1.21,2.37,6.71,13.29,22.55,27.49,41.81,48.24,55.10,,,Nigerian Telecommunications Plc (NITEL).,,Nigerian Telecommunications Plc (NITEL).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,Break in comparability. Includes active GSM & CDMA mobile lines.,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission (NCC).,,Nigerian Communications Commission,,Nigerian Communications Commission
Niue,410,400,490,600,650,,,,,,,,21.58,21.60,27.09,33.94,37.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Marianas,3000,13200,17137,18619,20474,,,,,,,,4.38,19.08,24.70,26.94,29.93,,,,,,,,,Micronesian Telecommunication Corp. (MTC).,,Micronesian Telecommunication Corp. (MTC).,,Micronesian Telecommunication Corp. (MTC).,,Micronesian Telecommunication Corp. (MTC).,,Micronesian Telecommunication Corp. (MTC).,,,,,,,,,,,,
Norway,3224000,3593000,3790000,4060829,4524750,4754453,4868916,5037650,5211207,5359640,5525138,,71.79,79.60,83.56,89.08,98.64,102.84,104.29,106.68,109.04,110.87,113.15,,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,ITU estimate.,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Posts and Telecommunications Authority (NPTA).,,Norwegian Post- and telecommunications Authority.,,Norwegian Post- and telecommunications Authority.,,Norwegian Post- and telecommunications Authority,,Norwegian Post- and telecommunications Authority,Mid-year.,NPTA website.
Oman,162000,323000,463000,594000,806280,1333225,1818024,2500000,3219349,3970563,4606133,,7.15,14.17,20.11,25.43,33.90,54.88,72.99,97.61,122.09,146.40,165.54,,,,,,,,,,,,,,,,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Telecommunication Regulatory Authority
