,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Belgium,5629000,7697000,8101777,8605834,9131705,9604695,9847375,10738121,11341704,11775240,12154041,,55.32,75.38,79.01,83.53,88.17,92.23,94.01,101.89,106.98,110.45,113.46,,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,ITU estimate.,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,IBPT,"Number of active clients (yearly reports mobile networkoperators, MVNO included) ",Belgian Institute for Postal Services and Telecommunications ,"Number of active clients (yearly reports mobile networkoperators, MVNO included)",Belgian Institute for Postal Services and Telecommunications ,"Number of active clients (yearly reports mobile networkoperators, MVNO included)",Belgian Institute for Postal Services and Telecommunications 
Belize,16812,39155,51729,60403,75000,96000,118000,118314,160032,161783,194201,,6.71,15.26,19.69,22.47,27.29,34.17,41.11,40.36,53.48,52.97,62.32,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,includes Mobile GSM and AMPS Post and Pre Mobile Base at December 2010,Belize Telemedia Limited
Benin,55476,125000,218770,236175,459322,596267,1055727,2051776,3625366,5033349,7074914,,0.85,1.86,3.15,3.30,6.21,7.81,13.41,25.29,43.39,58.52,79.94,,,Office des Postes et Télécommunications (OPT).,,ITU estimate.,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,ATRPT.,,ATRPT.,,Autorité transitoire de régulation des postes et télécommunications du Bénin
Bermuda,13000,13333,30000,40000,49000,52720,60100,69000,79000,85000,88200,,20.69,21.13,47.33,62.84,76.68,82.21,93.43,106.97,122.18,131.17,135.82,,,The Bermuda Telephone Company Limited (Bermuda Telephone).,Data at 31st December 2001.,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce estimate.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,Ministry of Telecommunications and E-Commerce.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Bhutan,0,0,0,2255,19138,36000,82078,149439,253429,338938,394316,,0.00,0.00,0.00,0.36,2.98,5.46,12.17,21.70,36.13,47.49,54.32,,,,,,,,,,,,,,,,,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",,Ministry of Information & Communications
Bolivia,582620,779917,1023333,1278844,1800789,2421402,2876143,3254410,5038600,6464390,7179293,,7.01,9.20,11.84,14.51,20.05,26.47,30.90,34.39,52.38,66.14,72.30,,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Superintendencia de Telecomunicaciones.,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes
Bosnia and Herzegovina,93386,444711,748780,1074790,1407441,1594367,1887820,2450425,3179036,3257239,3013700,,2.53,11.86,19.83,28.41,37.22,42.17,49.92,64.84,84.23,86.45,80.15,,,,,,,,,,,,,,,,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H
Botswana,222190,332264,332264,444978,522840,563782,823070,1151761,1485791,1874101,2363411,,12.64,18.62,18.38,24.31,28.23,30.06,43.30,59.75,76.01,94.58,117.76,,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunication Corporation.,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority
Brazil,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,173959368,202944033,,13.29,16.25,19.46,25.53,35.68,46.35,53.16,63.74,78.65,90.02,104.10,,,,,,,,,,,,,,,,,Anatel. ,,Anatel. ,,Anatel. ,,Agência Nacional de Telecomunicaç?es
British Virgin Islands,,,8000,,,,,20700,23000,24000,24500,,,,37.81,,,,,91.96,101.05,104.32,105.40,,,,,,,Caribbean Telecommunications Union.,,,,,,,,,,Cable and Wireless Plc. (C&W).,,Cable and Wireless Plc. (C&W).,,ITU estimate.,,ITU estimate.
